id,tipo,cantidad,peso
1,EXP,64,11.26
2,EXP,65,721.8
3,STD,79,840.38
4,EXP,65,784.91
5,ECO,18,107.65
6,STD,68,721.56
7,ECO,99,46.23
8,EXP,71,381.56
9,EXP,48,322.16
10,ECO,78,711.0
11,EXP,76,761.58
12,ECO,32,865.66
13,EXP,59,249.04
14,EXP,5,733.69
15,ECO,1,68.97
16,STD,21,387.47
17,STD,25,830.01
18,STD,31,543.46
19,ECO,6,9.44
20,ECO,51,465.54
21,EXP,11,283.44
22,ECO,47,755.93
23,ECO,57,358.27
24,STD,47,546.72
25,EXP,66,328.47
26,ECO,12,293.31
27,STD,18,57.99
28,ECO,81,687.61
29,EXP,5,551.71
30,ECO,62,180.28
31,STD,72,333.33
32,STD,97,861.23
33,EXP,66,319.41
34,EXP,9,162.33
35,ECO,23,937.02
36,ECO,5,179.8
37,ECO,7,382.92
38,STD,99,805.1
39,STD,83,268.27
40,ECO,88,881.93
41,ECO,89,982.59
42,STD,99,606.87
43,STD,49,249.85
44,STD,49,490.62
45,STD,3,505.8
46,EXP,30,332.44
47,STD,44,12.82
48,STD,79,537.33
49,ECO,58,458.58
50,ECO,42,664.23
51,ECO,72,196.73
52,ECO,100,494.03
53,STD,30,268.83
54,STD,31,488.02
55,STD,26,842.92
56,EXP,49,130.73
57,EXP,43,758.17
58,ECO,96,779.06
59,STD,67,404.18
60,ECO,60,711.06
61,EXP,52,888.18
62,EXP,27,70.81
63,EXP,8,270.18
64,EXP,29,296.78
65,STD,17,647.02
66,STD,15,930.74
67,STD,92,56.66
68,EXP,15,617.41
69,EXP,56,998.86
70,STD,4,706.54
71,EXP,47,596.39
72,ECO,94,719.49
73,EXP,62,99.24
74,ECO,29,358.39
75,ECO,33,756.12
76,STD,96,952.75
77,EXP,60,516.87
78,STD,31,716.17
79,EXP,68,742.79
80,STD,62,719.75
81,ECO,15,241.73
82,EXP,36,613.06
83,ECO,21,249.97
84,STD,66,6.55
85,EXP,44,371.91
86,ECO,15,159.92
87,ECO,95,530.29
88,ECO,16,677.1
89,ECO,38,230.26
